N,SongName,SongString
1,timeformuehlebach,bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbbpbbbb-10bpb+3b0bbbb-2bb+2bbbbbbbbbbbbbbbb-2bbbb-1bpb+1bpb+2bbbb-3bbbb+1bbbbbbbbbbbbbbbb0bbbb
2,daybyday,pbbbbb0b-4b+2bbbbbbbpbbbbb+2bb-4b+2bpb0bbbbbbpbb0bp0bb0b+5bbpb-3bbbbp-4bbpb+2bb-2bb+2bb0bbp0bbbbbbpbbbbbbbbbbbb0bp+5bb0bb+2bpb-3bb-2b0bbbbpbb+3bb0bp0bbpbb+2bbp-3bb-2bp0bbbbpbb+1b-1bp+1bbbpbbb+2bp0bbpbbbb-3b-2bp-2bbb+2bbbpb+2bp-2b+2bbbbpbb0bbbbbbpbbb0bb-4b+2bp0bbbbbb
3,begood,b+1b-1b-4b+2bb-2b0bb-3bb0bb-2bbb
4,dirlada,pbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb0bb+2bb0bb+2bb-4bbbbpbbbbbbbbbbbbbbbb0bbbb0bb+2bb0bb+2bb-4bbbbpbbbbbbbbbbbbbbbb+2bbbb0bb+2b-2b-2bb-1bb+3bbbbpbbbbbbbbbbbbbbbb-2bbbb0bb+2bb0bb+2bb-4bbbbpbbbbbbbbbbbbbbbb-3bbbb0bb+2bb+1bb-1bb-2bbbbpbbbbbbbbbbbbbbbb0bbbb0bb+2bb+1bb-1bb-2bbbbpbbbbbbbbbbbbbbbb+3bbbb0bb0bb+2bb+2bb-4bbbbpbbbbbbbbbbbbbbbb0bbbb0bb0bb+2bb+2bb-4bbbb
5,kansas,pbbbbbbbb-2bb-2bb-1bb+1bb+4bb+5bb-2bbbbbb-2bb-6b+1b+1bpb+3b-2b-3b-7b-5bbbbbbbbpbb+18bb-1bb-2bb-1bb+1bb+3bb+7bb-1bbbbbb-2bbpb-5b+1b+1b+3b-2b-3b-4b-8bbbbbbbbpbb+12bb-2bb-2bb-1bb+1bb+4bb+5bb-2bbbbbb-2bb-8bbbbbbbbpbb-7bb+3bb+2bb+4bb-2bb-4bb-3bb-2bb-1bb+5bbb-2b-2bbbbbbpbb
6,confessing,bb+5bb-1bb-6bb-1bb+6bb-1bb-5bb+3bbb-2b-1bbb-1b+1bbbb0bbbpb+3bb+5bb-1bb-6bb-1bb+6bb-1bb-5bb+3bbb-2b-1bb+3bb+5bbbb0b-8b+1b+1b+1bb+7bb-2bb-5bb+1bbbb+1bbbb0bb+3bb-1bb0bb-2bbbb0bbbpb-2bb+5bb-1bb-6bb-1bb+6bb-1bb-5bb+3bbb-2b-1bb+3bb+5bbbb0bbbpb
7,tonighthesailedagain,pbbbb-8bb+1bb+11bbb-2b0bbbbpbb-4bb-4bb+1bb+7bbb-2b0bbbbpbb-3bb+5bb-2bb0bbb0b-2bb+4bb-5bb-2bb-2bb+2bb+2bbbbbbbbpbb+3bb-8bb+1bb+11bbb-2b-4bbbb
8,ithinkaboutyou,b0b0b0b0b0b-2b-2b+2bb-2bb0bbbb+4b0b0b0b0b-2b-2bb+2bb-2bb0b+4b-2b-2b0bb0bbpbbbb0bb0b+2b+2bb0bbbbpbbbb-4b0b+4bb0bb0bb-2b-2b+2bb-2b0bpbbbb+4bb0b0b0bbbb-2b-2b0bb0b+4b-2b-2b0bb0bbpbbbb0bb0b+2b+2bb0bbbbpbbbb
9,phantomoftheopera,pbbbb+5bb-5bb+3bbb-2b0bbbb0bb-3bb+7bbb-7b+2bbbbbbbbpbb0bb+5bb-5bb+5bbb-4b0bbbb0bb-3bb+5bbb-5b+2bbbbbbbbpbb0bb+5bb+3bb+4bbb-2b0bbbb0bb0bb+5bbb-5b+2bbbbbbbb-9bb-2bb0bbb-1b+17bbbbbbbb0b-2b-2b-1b-2b-2b-1b-2b-1bbbbbbbb-1bb-2bb0bbb-1b0bbbbbbbb0bbbbpbbbb+5bb+5bb-5bb+3bbb-2b0bbbb0bb-3bb+5bbb-5b+2bbbbbbbb0bb0bb+5bb-5bb+3bbb-2b0bbbb0bb-3bb+5bbb-5b+2bbbbbbbbpbb0bb+5bb-5bb+12bbb-2b0bbbb0bb0bb+5bbb-5b+2bbbbbbbb0bbbbpbb0bb+5bbbbbbbb0b-2b-2b-1b-2b-2b-1b0b-3bbbbbbbb-1bb-2bb0bbb-1b0bbbbbbbb0bbbbpbbbb
10,whereareyounow,pbbpbb+2b+1bbb+2bbbb-2bb-1bbbb-2bbbb-2bb+5bbbb-1bb-2bbbb-2bbbbbbpbb+4bb+1bbbbbb-1bb0bb0bbbbpbbbb-2bbpbb+2b+3bbb0bbbb-2bb-1bbbb-2bbbb-2bb+5bbbb-1bb-2bbbb-2bbbbbbpbb+4bb+1bbbbbb-1bb0bb0bbbbpbbbb-4bb-1bbbb-2bbbb0bb0bbbbbbbbpbbbbbbbb
11,themetodayshow,pbbbbbb+3bb+5bbbbbbbbbpbbbb+2b-4bb-2bbbbbbbbbpbb+3bb0b+2bb-3b-4b+2b0bbbbbbbb0bbbbbbbb0b+2bb+3b0bbbbbbbb+2b-4bb+2b0bbbbbbbbpbb-2bb0b+2bb-3b0bbbbbb-4b+2b+2bbbbbbbb0bbbbbbbb
12,themeatimetolove,pbbbb+3bb+4bb+1bbbbbb-5bbpbb-3bb0bbpbb+2bbbbbb+6bbpbb-12bb0bbpbb+11bbbbbb-5bbpbb-6bb0bbpbb+4bbbb0b+2b+1b+4b-16bbbbpbbbb+14bbbbbb-5bbpbb0bb0bbpbb-1bbbb0b+1b+2b+3bpbb-10bb0bbpbb+9bbbbbbbbpbb-5bb0bbpbb+4bb-3bb+4bb+3bbpbbbb-11bbpbb+12bbbbbb-5bbpbb-3bb0bbpbb+2bbbbbb+6bbpbb-12bb0bbpbb+11bbbbbb-5bbpbb-2bb0bbpbb0bbbb0b+2b+1b+4b-16bbbbpbbbb+14bbbbbb-5bbpbb0bb0bbpbb-1bbbb0b+1b+2b+3bpbb-10bb0bbpbb+8bbbbbbbb
13,gehtsparkasse,pbbbbb+1b-1b-4b+2bb-2b0bbb
14,whisper_to_me,bbbb-1bbbb-7bb+7bbbbbb0bb0bb-2bbbb+2bb-2bbbbbb-5bb+3bb0bbbb0bb0bb-2bbbb-1bb+1bbbbbbbb0bbbbpbb0b0b+7bb-3bbbb-4bb+7bbbbbb0bb-1bb-4bbbb-3bb+7bbbbbb-7bb+5bbbbbb0bb0bb+2bbbb+1bb
15,goodnight,pbb+2b-2b-5bbb-3b+5bbb-1b+1bb-5b+3b+5bb+2b-2b-5bb+2bb+2bbbb0bbpbb-4bpb0bpb+5bb-8b+3b+4bbb-2b-5bbbb0bpb0b+3b+5bb-8b+3b+4bbb-2b-4bbbb0bbpb0b-1bb-2b-1b-11bb-3bb+22bbb0b+3bbb0b0bb-3b-1b+1b+5bb-3b-2bbb-1b-1bb
16,themetodayshow,pbbbbbb+3bb+2bbbbbbbbbpbbbb+2b-4bb+2bbbbbbbbbpbb+3bb0b+2bb-3b-4b+2b0bbbbbbbb0bbbbbbbb0b+2bb+3b0bbbbbbbb+2b-4bb+2b0bbbbbbbbpbb-2bb0b+2bb-3b0bbbbbb-4b+2b+2bbbbbbbb0bbbbbbbb
17,chatterbox_carew,bb+5bb-5b+2b+3bb+4bb0bb0bb-2bb-7b+2b+3bb-5b+2b+3bb+4bb0bb0bb-2bb+5b+2b+5bbbb-3bb-2bb-2bb-3bbbb0b-2b-2bb+4b-2b-2bb-1bb+1bb+2bbbb-7b+2b+3bb-5b+2b+3bb+4bb0bb0bb-2bb-7b+2b+3bb-5b+2b+3bpb+4bb0bb0bb-2bb+5b+2b+5bbbb-3bb-2bb-2bb-3bbbb0b-2b-2bb+4b-2b-2bb-1bb+1bb+2bbbb+8b+2b+2b0b-4b+2b+2bb-2bb-2bb-3bbbb
18,uncantoagalicia,pbbbb0bb+1bb+2b0bb0b+2bb-2bb+4bbb-9b0bb+2bb+1b0bb0b+2bb-2bb-1bbpb0b0bb+1bb+2b0bb0b+2bb-2bb+4bbb-9b0bb+2bb+1b0bb0b+2bb-2bb-1bbpb0b0bb+1bb+2b-3bb+3b+2bb-2bb+4bbb-9b0bb+2bb+1b0bb0b+2bb-2bb+4bbpb-5b0bb+1b+2b-3b0bb+3b+2bb-2bb+4bbb-9b0bb+2bb+1bbb0b+2bb-2bb-1bbbbbbb
