Song1;Song2;rapSong1;rapSong2;cosine;jaccard;sor dice;over coe;jaro;Clustering
tonighthesailedagain;iloveyouyesido;pbbbb-8bb+1bb+11bbb-2b0bbbbpbb-4bb-4bb+1bb+7bbb-2b0bbbbpbb-3bb+5bb-2bb0bbb0b-2bb+4bb-5bb-2bb-2bb+2bb+2bbbbbbbbpbb+3bb-8bb+1bb+11bbb-2b-4bbbb;pbbbb0bb0bb0bbb-3b0bbbb0bb+2bb0bb0bb0bbb-4b-4bbbbbb-3bb+5bb-2bb0bbb-2b0bbbbpbbbb-5bb+2bb;0.7387687194103584;0.5616438356164384;0.7192982456140351;0.9318181818181818;0.7619417168197655;0
thehappywhistler;sanfranciscobrewingad;bbbb0bbbb+5bb0bbpbb0bbbb+4bbbb+3bb+2bb-2bb-7bbpbb+4b-2bb-2bb-3b-2bbbb+9bbbb0bbbb-4bb+2bbpbbbbbbbb-7bb0bbbb+5bbbb0bbbb+4bbbb+3bb+2bb-2bb-2bb-1bb-2bb-2bb-3bb-2bbbb+9bbbb0bbbb-2bb-2bbpbbbbbbbb+7bb+2bb0bb+3bbbb0bbbb-3bbbb-2bb+2bb-2bb-3bb0bb-2bb-2bb0bb+4bbbb+3bbbb0bbbb-3bb+3bbpbbbbbbbb0bbbb+2bb0bb+3bb0bb0bbbb-3bbbb-2bb+2bb-2bb-3bb0bb-2bb-2bb-3bb-2bbbb+9bbbb0bbbb-2bb-2bb;bb+3bb0bb+2bb+3b-3b+3b0bb-2b-3b-4b+4bbbbpb+3b+2b-2b+3b-1b-2b-2b+2bb+2bb-14bb+4bb0bb+3bb+5b+2b-2b-3b0b-2b-2b-3b-2bb+12bb0bb-2b-1bpbbbbbb-5bb+5bb0b;0.6112263654571317;0.38005390835579517;0.55078125;0.9724137931034482;0.6649692835766591;1
muehlebachbeersmith;timeformuehlebach;bb-5bb+5bb-5bb+5bb-5bb+5bb-5bb-7bb+5bbbbbbbbbb-5b+2b+1bb+2bb-3bbbbbbbb0bb-5b+1b+2bb+2bb-2bbbbbbbbbb-1b+1b+2bb-3bb-2bbbbbbbbbbbbbb-5b0b+12bbbbbbbb0bb-5b+2b+1bb+2bb-3bbbbbbbb0bb-5b+1b+2bb+2bb-2bbbbbbbbbb-1b+1b+2bb-3bb+1bbbbbbbb;bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbbpbbbb-10bpb+3b0bbbb-2bb+2bbbbbbbbbbbbbbbb-2bbbb-1bpb+1bpb+2bbbb-3bbbb+1bbbbbbbbbbbbbbbb0bbbb;0.8018970858983525;0.6690909090909091;0.8017429193899782;0.8177777777777778;0.7937588257153475;0
mygodandi;mygodanditwo;bbb+3bbb0b-7bb+4bbbb+3bbbbbb-3bb+3bbb0b-2bbb-1b0bbbbbb-4bb+4bbbb-2bbb-2b+4bbbb-2bbbbpbb0bb0bbb+2b-4bbbb-1bbbbbbbb0bbb+1bpbbbbbbbbbb+5bbbbbb0bb+4bbb0b-2bbb-2b-3bbbbbbbb+3bbbb-1bbb-2b+2bbbbbbbbpbb0bb+1bbb+2b-7bbbbbbbbbbbb+2bbb+2b+5bbbbbb0bb+3bbb0b-1bbb-2b-4bbbbbbbb+4bbbb-2bbb-2b+4bbbbbb0bb+3bbb0b-1bbb-2b-4bbbbbb0bb+4bbb0b-2bbb-2b+4bbbb-2bbbbbb+9bb-4bb-5bb-2bbbb-1bbbbbb+3bb0bb-3bb+7bbbbbb-2bb-2bbb0b-2bbb-3b+5bbbbbb-2bb-1bbb0b-2bbb-3b+1bbbbbbbb0bbbbbbbb;bbb+3bbb0bpbb0bbbbbb-3bb+3bb0bb0bbb-3b0bbbb-2bbbbpbb0bb0bbb+2bpbbbbbbbbbb+1bbbbbb0bb+4bb0bb-2bbb-2b-1bbbbbbbbpbb0bb+1bbb+2b+2bbbbbb0bb+3bb0bb-1bbb-2b0bbbb-2bbbbpbb-3bb+3bb+5bb-1bbbbbb-2bb-2bb0bb-2bbb-3b+2bbbbbbbbpbbbbbbbb;0.6889873619661014;0.4780701754385965;0.6468842729970327;0.9864253393665159;0.7369269361706898;1
goodnight;whilewedream;pbb+2b-2b-5bbb-3b+5bbb-1b+1bb-5b+3b+5bb+2b-2b-5bb+2bb+2bbbb0bbpbb-4bpb0bpb+5bb-8b+3b+4bbb-2b-5bbbb0bpb0b+3b+5bb-8b+3b+4bbb-2b-4bbbb0bbpb0b-1bb-2b-1b-11bb-3bb+22bbb0b+3bbb0b0bb-3b-1b+1b+5bb-3b-2bbb-1b-1bb;b-1b-2b-2b+2bbb-2b-7b+2b+2bbbbbb0bbbb0b+3b+2bbbb-4b+4b+2bbbb-4bb+7bbbbbb-2bbpbb-8b0b+8bbbb-8b+3b+4bbbb-2bb-5bbbbbb0bbbb0b+3b+5bbbb-8b+3b+4bbbb-2bb-4bbbbbb0bb-1b+1bpbb+9bbb0b0b0b-2bbbb-10b+3b+7bbb-10b+3b+4b+2bbbb;0.8600639724194833;0.7542372881355932;0.8599033816425121;0.8768472906403941;0.7907115265444729;1
rendezvous;idreamed;pbbbbbbbbb-1b+1bb0b-1b-2b-2b+2b-2b+2bb0b-2b-2b-1b+1b-1b+1bb0b-1b-2b-2b+7bbbbbbbb+7b0b0bb0b-1b-2b-2b+2b-2b+2bb0b-2b-2b-2b+2b-2b+2bb0b-2b-1b-2b+7bbbbbbpbb+3b-1b+1bb0b-1b-2b-2b+2b-2b+2bb0b-2b-2b-1b+1b-1b+1bb0b-1b-2b-2b+9bbbbbbbb;pbb+5bb-1bb+1bb-1bb+1bb-1b+1b0bbb-1b-2bb-2bb+2bb-2bb+2bb-2b+2b0bbb-2b-2bb-1bb+1bb-1b0b+1bb-1bb-2bb-2bb+7bbbbbbbb0bbbbpbb+2bb+5bb-2bb+2bb-2bb+2bb-2b+2b0bbb-2b-1bb-2bb+2bb-2bb+2bb-2b+2b0bbb-2b-2bb+2bb+2bb-2bb-2bb+2bb0bb-4bb+2bbbbbbbbpbb0bb+5bb-1bb+1bb-1bb+1bb-1b+1b0bbb-1b-2bb-2bb+2bb-2bb+2bb-2b+2b0bb-2b0b-2bb-1bb+1bb-1bb+1bb-1bb-2bb-2bb+7bbbbbbbb0bbbbbbbb;0.7855024408027275;0.6201117318435754;0.7655172413793103;0.9866666666666667;0.7536220102582986;0
mizpahshalom;shalom;pbb+1bb+4bb+3bb+5bbbbbbbb+2bb+2bb-5bbbbbbbb-2bb+2bb+1bbbbbbbbbbbb-3bbbb-11bb+1bb+3bb+3bb+6bbbbbbbb+1bb+2bb-5bbbbbbbb+2bb-2bb-5bbbbbbbbbbbb0bbbb+1bbbbbbbb+4bbbbbbbbbbbb-2bbbbbb-3bb+3bb-2bb0bbbbbbbb0bbbb+4bbbb+2bbbb+1bbbb+2bbbbbb-3bb-2b-2bbpb+8bbbbbbbb-4bb-2bb-2bbbbbbbbbbbb0bbbb-8bb+1bb+4bb+3bb+5bbbbbbbb+2bb+2bb-5bbbbbbbb-2bb+2bb-2bbbbbbbbbbbb0bbbb;bbbb+12bbbb0bb0bbbb0bb+1bbbb-1bb-4bbbb+4bb+1bbbb-1bb-2bbpbb0bbbbpb0bbpbb-10bbpbbbb0bb+10bbbb0bb0bbbb0bb+2bbbb-2bb-3bbbb+3bb0bbbbpbb0bb-3bb+2bbpbbbb+1bb-1bbbbpbb-1bb0bpb-3bbpbb+12bbbb0bb0bbbbpbb0bb+2bbbbpbb-2bb-3bbbb+3bb+2bbbb-2bb-4bb+3bbpbbbb+1bbpbb-5bbbbbbpb0bb0b-12bb+12bbbb0bb0bbbb0bb+1bbbb-1bb-4bbbb-1b-1b-1bb+2bb+1bb+1bb+3bb-2bb+5bbbb-3bbpbbbbb-4bbbb-1bpb-1bpb-1bb+2bb+1bb+1bb+3bb-2bb+9bbbb-3bb-3bbbb-1bb+3bbbb-3bb-3bb+1bbb-3b-5bbbbbbbbbbbb;0.8563676900493773;0.7390350877192983;0.849936948297604;0.9683908045977011;0.8304242701330183;0
evangelimann;mitternachtstango;pbbbbbb0b-1b+1b+9bb-4b0bbb-1bb-4b0b-1b+1b+10b-1b-1b0bbb+1bb-6b0b-2b+1b+10bb+2b-2bbb-2bb0b-1bb-2b-2bb+2b+2bbb;b-1b+1b+9bb-2b-2b0bb-1bbbbpbb-4bb-1b+1b+10bb-1b-1b+1bbbpbbbb-4bb0b+4b+3bb0b+2b-2bb-2bbbpb+2b-2b-1bb-1b+1b+1bb-1b-2b-2bbb;0.9047627749926196;0.824;0.9035087719298246;0.9537037037037037;0.8305495625074913;1
mojoworkout;gotmymojoworking;b0b0b0bb0b-5b+3bb+2bbpbb0bb-3b+3bb0b-5b+3bb+2bbpb-5b+3b+2bpbbbb0bb0b-5b+5bb0bb0bb0bb0b0bb0b-5b+3bb+2bbpbb-2b0b-3b+3bb0b-3b+3b-3b0b0bpb0b0b0b0b-2b-2bb-3bbbbbbbb0bbbbbbpb-1b+1b0b0b-2b+2bb0b0b0b0b0b+4b0bbb-5b+1b0b0b0b0bb0b0b0b0b0bb0bbb-1b;b0b+4bb-6b-1b+1b-1b-4b0b+7bb0bb0bb-3bb-4bbbb0bbbb0bbbb0bpb+7b0b0bb-2b-1b+1b-1b-4b0b+12bb-5bb-2bb-1bb-4bbbb0bbbb0bbbb0b+4b+1b-1b+1bb0b-1b-4b+7bb-7b+7bb0bb-2bb-1bb-4bbbb0bbbb0bbbb0b+12bb0b0bb0bb-1bb+1bb0bbbb0b0bb0b0bb0bb-1bb+1bb0bbbb0b0bb0b0bb0bb-1bb+1bb0bbbb0bpb;0.8196753090664279;0.6928327645051194;0.8185483870967742;0.8638297872340426;0.7852977597658449;0
sognonostalgico;girlinthedark;b+8b-1bbb-2b+2b-2b+2bbbb-7b+8b-1bbb-2b+2b-2b+2bbbb-2b+8b-1bbb-2b+2b-2b0bbbbb+1b-9bbbbbbpb-3b+7b-5b+4bbbbbbpbbbbbb+3bbb-2b+2b-5b+3bb-3bbb0b-4bbb+4b+2b-2b+7bbbb0bb+1bbb-1b+1b-3b+2bb-7bb+3bb-1bbb-2b-1b+1b+2bbbbbb;b+8b-1bbb-2b+2b-2b+2bbbb-7b+8b-1bbb-2b+2b-2b+2bbbb-2b+8b-1bbb-2b+2b-2b+2bbbb+1bb-9bbbbpbb-4bb+8bb-1bbb-2b+2b-2b+2bbbb-7b+8b-1bbb-2b+2b-2b+2bbbb-2b+8b-1bbb-2b+2b-2b+2bbbb+1bb-9bbbbpbb-4b+8bb-4bb+3bbbbbb-2bb0bb+7bb-2bbb-2b+2b-5b+3bb-3bb-5bb+1bbb+4b+2b-2b+7bbbb-4bb+5bbb-1b+1b-3b+2bb+5bb+3bb-1bbb-5b+6bb-1bbbbbb;0.8119302441907669;0.662379421221865;0.7969052224371374;0.9856459330143541;0.8152464125892843;1
